"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","comf_saf","=~","Q8_8",0.436283362078943,0.0291843314334117,14.9492327098322,0,0.379083123556576,0.49348360060131
"2","comf_saf","=~","Q8_9",0.550311471855496,0.0258192178453398,21.3140256669248,0,0.499706734769636,0.600916208941356
"3","comf_saf","=~","Q8_10",0.750184295827668,0.0189330001494317,39.6231072680885,0,0.713076297415491,0.787292294239846
"4","comf_saf","=~","Q8_11",0.808990889272985,0.0171046249180708,47.2966167424282,0,0.7754664404645,0.84251533808147
"5","comf_saf","=~","Q8_12",0.51578682281795,0.026909215848016,19.1676645551891,0,0.463045728903624,0.568527916732276
"6","comf_saf","=~","Q8_15",0.529944671021348,0.026469252129433,20.0211425857426,0,0.478065890149949,0.581823451892747
"7","ex_env","=~","Q8_1",0.714572658424801,0.0256820104806077,27.8238597778148,0,0.664236842832229,0.764908474017372
"8","ex_env","=~","Q8_2",0.627098176349338,0.0272597760933966,23.0045241091047,0,0.573669996979655,0.680526355719022
"9","ex_env","=~","Q8_3",0.442713770108829,0.0317309942445955,13.952092603724,0,0.380522164195775,0.504905376021884
"10","ex_env","=~","Q8_13",0.467908752345306,0.0311295753514697,15.0310033806232,0,0.406895905802399,0.528921598888212
"11","MAX_attitude","=~","Q34_1",0.690028227725523,0.0196750101710349,35.0713022116435,0,0.651465916394835,0.728590539056211
"12","MAX_attitude","=~","Q34_2",0.868707319721546,0.0133422493290865,65.1095102703364,0,0.842556991563783,0.894857647879309
"13","MAX_attitude","=~","Q34_3",0.788630215928954,0.0159026910911656,49.5909913239188,0,0.757461514133004,0.819798917724905
"14","MAX_attitude","=~","Q34_4",0.686598246069271,0.0198101832973833,34.6588537704222,0,0.647771000279262,0.725425491859279
"15","bike_attitude","=~","Q21_1",0.67628970226676,0.0214713339806301,31.497330481509,0,0.634206660964694,0.718372743568826
"16","bike_attitude","=~","Q21_2",0.546439550916054,0.0260172514649777,21.0029699582843,0,0.495446675067976,0.597432426764132
"17","bike_attitude","=~","Q21_3",0.712395567444725,0.0201389361681943,35.3740416819941,0,0.672923977868113,0.751867157021337
"18","bike_attitude","=~","Q21_4",0.50406442787022,0.0273449347939844,18.4335575004227,0,0.450469340514415,0.557659515226026
"19","bike_attitude","=~","Q21_8",0.441051989574382,0.0291424981581934,15.1343233232866,0,0.383933742764798,0.498170236383965
"20","bike_attitude","=~","Q21_9",0.632798324565232,0.023056263135526,27.445831999991,0,0.587608879201522,0.677987769928941
"21","bike_attitude","=~","Q21_10",0.688106915841984,0.0210355287236209,32.7116529792429,0,0.646878037147929,0.729335794536039
"22","car_attitude","=~","Q15_1",0.610332941522519,0.0260897818582077,23.393562462099,0,0.559197908715926,0.661467974329113
"23","car_attitude","=~","Q15_2",0.68708034074862,0.0239137995213716,28.7315422266788,0,0.64021015495322,0.733950526544019
"24","car_attitude","=~","Q15_4",0.63671573192466,0.0253213986135173,25.1453618989577,0,0.587086702603983,0.686344761245336
"25","car_attitude","=~","Q15_6",0.539456620882929,0.0281625438562403,19.15510983797,0,0.484259049211668,0.59465419255419
