"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","comf_saf","=~","Q8_8",0.452748661842342,0.0285646675869125,15.8499538097121,0,0.396762942141635,0.508734381543049
"2","comf_saf","=~","Q8_9",0.57792303470389,0.0247815561049945,23.3206918990617,0,0.529352077257242,0.626493992150538
"3","comf_saf","=~","Q8_10",0.754584161114515,0.0187640364017344,40.2143837796417,0,0.717807325562517,0.791360996666513
"4","comf_saf","=~","Q8_11",0.79176539955626,0.0176148910218082,44.9486402485268,0,0.757240847561918,0.826289951550602
"5","comf_saf","=~","Q8_12",0.511526032835658,0.0268845838103583,19.0267417358558,0,0.458833216828007,0.564218848843309
"6","comf_saf","=~","Q8_15",0.519819185827615,0.0266332010737477,19.5177134129776,0,0.467619070930056,0.572019300725174
"7","ex_env","=~","Q8_1",0.789696573540395,0.0233407435596603,33.8333940185703,0,0.743949556791076,0.835443590289714
"8","ex_env","=~","Q8_2",0.647125396972004,0.0255600331075175,25.3178622363239,0,0.597028652637619,0.69722214130639
"9","ex_env","=~","Q8_3",0.463632307349531,0.0300249198387755,15.4415835192598,0,0.404784545826829,0.522480068872234
"10","ex_env","=~","Q8_13",0.478434359643201,0.0296582444411568,16.1315805658165,0,0.420305268693848,0.536563450592554
"11","MAX_attitude","=~","Q34_1",0.741695360708962,0.016571097566846,44.7583726857586,0,0.709216606293645,0.77417411512428
"12","MAX_attitude","=~","Q34_2",0.87655145142244,0.011073332670777,79.1587751838885,0,0.854848118198887,0.898254784645994
"13","MAX_attitude","=~","Q34_3",0.812574701535723,0.0135433528713529,59.9980454806354,0,0.786030217677954,0.839119185393492
"14","MAX_attitude","=~","Q34_4",0.777097539872637,0.015044005640875,51.6549620109981,0,0.747611830633305,0.806583249111969
"15","bike_attitude","=~","Q21_1",0.680720481661331,0.0206869879745738,32.9057319749979,0,0.640174730282553,0.721266233040109
"16","bike_attitude","=~","Q21_2",0.587591813730555,0.0240668742231481,24.4149617554154,0,0.540421607032729,0.63476202042838
"17","bike_attitude","=~","Q21_3",0.707653758014762,0.0196668980580552,35.9819711235508,0,0.669107346133353,0.746200169896171
"18","bike_attitude","=~","Q21_4",0.530907573257217,0.0259438714985136,20.4636988464745,0,0.480058519500595,0.581756627013839
"19","bike_attitude","=~","Q21_8",0.441005810580322,0.0285727723641242,15.4344774444795,0,0.385004205808177,0.497007415352467
"20","bike_attitude","=~","Q21_9",0.661427527272471,0.0214101701677557,30.8931466723511,0,0.619464364840796,0.703390689704146
"21","bike_attitude","=~","Q21_10",0.701165724812687,0.0199133108812484,35.2109063627862,0,0.662136352672491,0.740195096952883
"22","car_attitude","=~","Q15_1",0.586417387521912,0.0258758147721572,22.6627602912394,0,0.535701722497854,0.637133052545969
"23","car_attitude","=~","Q15_2",0.675358124678501,0.0231193482116524,29.2118150778193,0,0.630045034837622,0.720671214519381
"24","car_attitude","=~","Q15_4",0.65586684082073,0.0237162996175549,27.6546869198455,0,0.609383747723762,0.702349933917699
"25","car_attitude","=~","Q15_6",0.644263215328008,0.0240756088658421,26.7599967634494,0,0.597075889045084,0.691450541610932
"26","car_attitude","=~","Q15_8",0.564024932506838,0.0265616065380774,21.2345940633628,0,0.511965140320682,0.616084724692993
"27","escooter_attitude","=~","Q28_1",0.73641223244376,0.0188036992680732,39.1631573099083,0,0.699557659102214,0.773266805785305
"28","escooter_attitude","=~","Q28_2",0.606527445868387,0.0235512756455279,25.7534859256577,0,0.560367793813177,0.652687097923597
"29","escooter_attitude","=~","Q28_3_r",0.407650056860161,0.0295432750732379,13.7984044033573,0,0.349746301731255,0.465553811989067
"30","escooter_attitude","=~","Q28_4",0.426151202898988,0.0290762969417783,14.6563093557719,0,0.369162708089311,0.483139697708666
"31","escooter_attitude","=~","Q28_8",0.630286757761803,0.0227092891689279,27.7545788894263,0,0.585777368876199,0.674796146647407
"32","escooter_attitude","=~","Q28_9",0.463221964620888,0.0280818428571337,16.4954261362949,0,0.408182564001393,0.518261365240384
"33","escooter_attitude","=~","Q28_10",0.738309894761487,0.0187339775876611,39.4102048700947,0,0.70159197340249,0.775027816120483
"34","escooter_attitude","=~","Q28_11",0.589367478168663,0.0241457147823679,24.408781578048,0,0.542042746814245,0.63669220952308
"35","Q35_4","~","comf_saf",0.0869110580998674,0.0394736367708262,2.20174945127176,0.0276830115010478,0.00954415169023204,0.164277964509503
"36","Q35_4","~","ex_env",-0.0294087039641726,0.0438240393704108,-0.671063288246971,0.502180212794675,-0.115302242787243,0.056484834858898
"37","Q35_4","~","car_attitude",-0.0810715560596082,0.0404200918648877,-2.00572419109304,0.0448856827355,-0.160293480366589,-0.00184963175262788
"38","Q35_4","~","MAX_attitude",0.198855326451328,0.0355986086960496,5.58604208802675,2.32302959091157e-08,0.129083335507337,0.26862731739532
"39","Q35_4","~","bike_attitude",0.0255998440786253,0.0407747581104633,0.627835584193351,0.530111652622848,-0.0543172132962153,0.105516901453466
"40","Q35_4","~","escooter_attitude",0.00867380512350532,0.0353004084763828,0.245714015726147,0.805903621788907,-0.0605137241297573,0.077861334376768
