"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","comf_saf","=~","Q8_8",1,0,NA,NA,1,1
"2","comf_saf","=~","Q8_9",1.6991708082074,0.145336439951454,11.6912923474317,0,1.41431662026128,1.98402499615352
"3","comf_saf","=~","Q8_10",1.83069071386985,0.140513711712763,13.0285556587682,0,1.55528889957879,2.10609252816091
"4","comf_saf","=~","Q8_11",2.16646014747731,0.164234810782333,13.1912359941073,0,1.84456583333619,2.48835446161844
"5","comf_saf","=~","Q8_12",1.4893928394764,0.135763335398607,10.970508606786,0,1.2233015916741,1.7554840872787
"6","comf_saf","=~","Q8_15",1.36484543622396,0.123316495117466,11.0678253945173,0,1.12314954709402,1.6065413253539
"7","ex_env","=~","Q8_1",1,0,NA,NA,1,1
"8","ex_env","=~","Q8_2",0.91288369878895,0.0581692002988186,15.6935920401073,0,0.798874161193769,1.02689323638413
"9","ex_env","=~","Q8_3",0.501472982347942,0.0409821179618693,12.2363852159745,0,0.421149507132506,0.581796457563378
"10","ex_env","=~","Q8_13",0.573150764615118,0.0455697975414222,12.5774261800073,0,0.483835602651148,0.662465926579087
"11","MAX_attitude","=~","Q34_1",1,0,NA,NA,1,1
"12","MAX_attitude","=~","Q34_2",1.23273214642503,0.0459665197261756,26.818043953914,0,1.14263942326708,1.32282486958299
"13","MAX_attitude","=~","Q34_3",1.14602887022929,0.0456181396415896,25.122218469086,0,1.05661895949005,1.23543878096852
"14","MAX_attitude","=~","Q34_4",1.06751005645826,0.0444606487863512,24.0102221986911,0,0.980368786107724,1.15465132680879
"15","bike_attitude","=~","Q21_1",1,0,NA,NA,1,1
"16","bike_attitude","=~","Q21_2",0.875149586636852,0.0542913801340689,16.1194941899751,0,0.768740436903104,0.9815587363706
"17","bike_attitude","=~","Q21_3",0.921663700838403,0.0488208265426145,18.8784944071749,0,0.825976639119402,1.0173507625574
"18","bike_attitude","=~","Q21_4",0.725330870315256,0.0492936760193324,14.7144812253562,0,0.628717040651779,0.821944699978733
"19","bike_attitude","=~","Q21_8",0.453030391028721,0.0365581947148355,12.3920339765814,0,0.381377646047841,0.524683136009602
"20","bike_attitude","=~","Q21_9",0.960275583515333,0.0537656932464814,17.8603776038576,0,0.854896761148401,1.06565440588227
"21","bike_attitude","=~","Q21_10",0.990295260702962,0.0528437959159389,18.7400477868447,0,0.886723323901337,1.09386719750459
"22","car_attitude","=~","Q15_1",1,0,NA,NA,1,1
"23","car_attitude","=~","Q15_2",0.939213962552293,0.0628478797859246,14.9442426021608,0,0.816034381667178,1.06239354343741
"24","car_attitude","=~","Q15_4",0.765483957891938,0.0520646672957103,14.7025612118913,0,0.663439085125285,0.86752883065859
"25","car_attitude","=~","Q15_6",1.12778842269657,0.0775126545078163,14.5497329417721,0,0.975866411515157,1.27971043387799
"26","car_attitude","=~","Q15_8",0.664479717039982,0.0497943250684576,13.3444868692657,0,0.566884633271325,0.762074800808639
"27","escooter_attitude","=~","Q28_1",1,0,NA,NA,1,1
"28","escooter_attitude","=~","Q28_2",0.717916703259851,0.0414022700171747,17.3400323934422,0,0.636769745147986,0.799063661371715
"29","escooter_attitude","=~","Q28_3_r",0.411564321263505,0.0350638804512331,11.7375577365406,0,0.34284037842087,0.48028826410614
"30","escooter_attitude","=~","Q28_4",0.412653667874097,0.033642887432721,12.2657030761501,0,0.346714820170028,0.478592515578165
"31","escooter_attitude","=~","Q28_8",0.860191486177002,0.0478179770897676,17.988872355729,0,0.766469973267496,0.953912999086508
"32","escooter_attitude","=~","Q28_9",0.532634641660513,0.0399840230652774,13.321186834825,0,0.45426739649555,0.611001886825476
"33","escooter_attitude","=~","Q28_10",0.958295901236781,0.0461837970451365,20.7496126899271,0,0.867777322359007,1.04881448011456
"34","escooter_attitude","=~","Q28_11",0.680416179280477,0.040340222611158,16.8669416090995,0,0.601350795834279,0.759481562726675
"35","Q35_4","~","comf_saf",0.683316371090921,0.314444567803417,2.17309008027804,0.0297735381631778,0.0670163430619611,1.29961639911988
"36","Q35_4","~","ex_env",-0.100130334011231,0.149305660769492,-0.670639904041009,0.502449955285537,-0.39276405180739,0.192503383784927
"37","Q35_4","~","car_attitude",-0.393724585148778,0.197649863022329,-1.99203065020236,0.0463676950459504,-0.781111198221817,-0.00633797207573789
"38","Q35_4","~","MAX_attitude",0.908203727778493,0.16673194527532,5.44708889636476,5.12008773156936e-08,0.581415119966562,1.23499233559042
"39","Q35_4","~","bike_attitude",0.118620127061729,0.189017744042268,0.62756080209699,0.53029169361179,-0.251847843700126,0.489088097823585
"40","Q35_4","~","escooter_attitude",0.0360594089965469,0.146761719078573,0.245700372160682,0.805914184084609,-0.251588274706641,0.323707092699735
"41","Q35_4","~","RECODED_Q63_am_ind_ala",-0.594711433285576,1.42144191057568,-0.418386026794945,0.67566490122751,-3.38068638412972,2.19126351755857
