"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","comf_saf","=~","Q8_8",1,0,NA,NA,1,1
"2","comf_saf","=~","Q8_9",1.64296020782205,0.149152134558827,11.0153315115585,0,1.35062739586948,1.93529301977463
"3","comf_saf","=~","Q8_10",1.82890545335026,0.146717188766498,12.4655159271147,0,1.54134504745496,2.11646585924556
"4","comf_saf","=~","Q8_11",2.31527035688797,0.182483378847991,12.6875684322822,0,1.95760950656873,2.67293120720721
"5","comf_saf","=~","Q8_12",1.47518977422115,0.138372986583973,10.6609664981533,0,1.20398370408331,1.74639584435898
"6","comf_saf","=~","Q8_15",1.37047423895737,0.126772101864639,10.8105349583988,0,1.12200548505824,1.61894299285651
"7","ex_env","=~","Q8_1",1,0,NA,NA,1,1
"8","ex_env","=~","Q8_2",0.988313610897197,0.0689993759215692,14.3235152158565,0,0.853077319135182,1.12354990265921
"9","ex_env","=~","Q8_3",0.531689210212752,0.0479047091495148,11.0988923563507,0,0.437797705589837,0.625580714835668
"10","ex_env","=~","Q8_13",0.638479338304698,0.054908466373358,11.6280672267054,0,0.530860721766588,0.746097954842809
"11","MAX_attitude","=~","Q34_1",1,0,NA,NA,1,1
"12","MAX_attitude","=~","Q34_2",1.26009661581503,0.0554551280196984,22.7228150184313,0,1.15140656213836,1.3687866694917
"13","MAX_attitude","=~","Q34_3",1.15026293252172,0.0533823187987161,21.5476389637346,0,1.045635510265,1.25489035477843
"14","MAX_attitude","=~","Q34_4",0.943242238160447,0.0492663077913737,19.1457870590742,0,0.84668204923809,1.03980242708281
"15","bike_attitude","=~","Q21_1",1,0,NA,NA,1,1
"16","bike_attitude","=~","Q21_2",0.824913026548883,0.0560156833698727,14.7264654632876,0,0.715124304574534,0.934701748523233
"17","bike_attitude","=~","Q21_3",0.927100156024205,0.0504563504375364,18.3743007170511,0,0.828207526375302,1.02599278567311
"18","bike_attitude","=~","Q21_4",0.735614251177643,0.0537024179740951,13.6979726226199,0,0.6303594460657,0.840869056289586
"19","bike_attitude","=~","Q21_8",0.43454803095174,0.0358601373124471,12.1178574182678,0,0.364263453338683,0.504832608564797
"20","bike_attitude","=~","Q21_9",0.885078178142357,0.0529412203545791,16.7181295069221,0,0.781315292949783,0.98884106333493
"21","bike_attitude","=~","Q21_10",0.986304520275626,0.0551181575526452,17.894366649204,0,0.878274916578237,1.09433412397301
"22","car_attitude","=~","Q15_1",1,0,NA,NA,1,1
"23","car_attitude","=~","Q15_2",0.901428756339456,0.0602793919734072,14.9541779840303,0,0.783283319061605,1.01957419361731
"24","car_attitude","=~","Q15_4",0.689310756042181,0.0480113598487975,14.3572429152815,0,0.595210219889746,0.783411292194617
"25","car_attitude","=~","Q15_6",0.809169117473175,0.0630267860660734,12.8384956298564,0,0.68563888672236,0.932699348223989
"26","car_attitude","=~","Q15_8",0.605659987594264,0.0466007807422379,12.9967776922954,0,0.51432413568803,0.696995839500498
"27","escooter_attitude","=~","Q28_1",1,0,NA,NA,1,1
"28","escooter_attitude","=~","Q28_2",0.729502357317902,0.043164586215046,16.9004830414341,0,0.644901322928838,0.814103391706967
"29","escooter_attitude","=~","Q28_3_r",0.481411660406803,0.0378974430122904,12.7030116583506,0,0.407134036996555,0.555689283817052
"30","escooter_attitude","=~","Q28_4",0.464476752555007,0.036266731296797,12.8072405741189,0,0.393395265376293,0.535558239733721
"31","escooter_attitude","=~","Q28_8",0.878453429738854,0.0510796295118503,17.197725162338,0,0.778339195551978,0.97856766392573
"32","escooter_attitude","=~","Q28_9",0.566317628655129,0.0422446488693872,13.4056654230002,0,0.483519638331589,0.649115618978668
"33","escooter_attitude","=~","Q28_10",1.01031673550913,0.0492441792822913,20.5164701744243,0,0.91379991766761,1.10683355335066
"34","escooter_attitude","=~","Q28_11",0.719517180060224,0.0430932738036934,16.6967398053326,0,0.635055915429062,0.803978444691387
"35","Q35_1","~","comf_saf",0.073966259294465,0.339061247175562,0.218150142225384,0.827312130219396,-0.59058157372287,0.7385140923118
"36","Q35_1","~","ex_env",-0.0248534400500503,0.196499597488418,-0.126480870025778,0.899351290937996,-0.409985574103966,0.360278694003866
"37","Q35_1","~","car_attitude",1.15708395184928,0.170729279330011,6.77730238416045,1.22439836047761e-11,0.822460713255979,1.49170719044258
"38","Q35_1","~","MAX_attitude",-0.324729980680385,0.159619712592276,-2.03439772824211,0.0419115107360746,-0.63757886858388,-0.0118810927768898
"39","Q35_1","~","bike_attitude",-0.098036366232492,0.183968685939825,-0.532897029359436,0.594104861711847,-0.45860836495771,0.262535632492726
"40","Q35_1","~","escooter_attitude",0.0107832218609118,0.145426672836311,0.0741488590132926,0.94089193836036,-0.274247819289747,0.295814263011571
"41","Q35_1","~","RECODED_Q63_am_ind_ala",-0.0785688571949878,1.66656938690992,-0.0471440660149571,0.962398406760247,-3.34498483327543,3.18784711888545
"42","Q35_1","~","RECODED_Q63_asian",0.787807056919568,0.28764906618553,2.73877842666606,0.00616679189865232,0.224025247009351,1.35158886682978
"43","Q35_1","~","RECODED_Q63_black",0.244006373250664,0.643952106552991,0.378920063724623,0.704747224582306,-1.0181165633619,1.50612930986323
"44","Q35_1","~","RECODED_Q63_hisp_lat",0.261388188949563,0.31639216617136,0.826152531248179,0.408717571675265,-0.358729061736913,0.88150543963604
"45","Q35_1","~","RECODED_Q63_more_than_one_race",0.379585471808977,0.287146641151296,1.32192203358902,0.186194114535676,-0.183211603129209,0.942382546747163
