"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"1","comf_saf","=~","Q8_8",1,0,NA,NA,1,1
"2","comf_saf","=~","Q8_9",1.70419243464276,0.129748469755989,13.1345860020372,0,1.44989010687184,1.95849476241368
"3","comf_saf","=~","Q8_10",1.88389804256269,0.126654263798388,14.8743357393916,0,1.63566024702942,2.13213583809597
"4","comf_saf","=~","Q8_11",2.27077786177439,0.150767692552734,15.0614353998961,0,1.97527861433882,2.56627710920996
"5","comf_saf","=~","Q8_12",1.54090654408004,0.121911383245724,12.6395624678805,0,1.30196462361297,1.77984846454712
"6","comf_saf","=~","Q8_15",1.41293138644254,0.110681735287601,12.7657140789408,0,1.19599917153244,1.62986360135263
"7","ex_env","=~","Q8_1",1,0,NA,NA,1,1
"8","ex_env","=~","Q8_2",0.958438282556082,0.0501663840566111,19.1051896719228,0,0.86011397657052,1.05676258854164
"9","ex_env","=~","Q8_3",0.529050940083994,0.0345075490143672,15.3314551509794,0,0.461417386821084,0.596684493346905
"10","ex_env","=~","Q8_13",0.552367399945359,0.0388460130047981,14.2194103646398,0,0.47623061351298,0.628504186377738
"11","MAX_attitude","=~","Q34_1",1,0,NA,NA,1,1
"12","MAX_attitude","=~","Q34_2",1.23715057963601,0.042335805893211,29.2223226541768,0,1.15417392482884,1.32012723444319
"13","MAX_attitude","=~","Q34_3",1.15610267330946,0.0416377046095504,27.7657638467488,0,1.07449427187582,1.2377110747431
"14","MAX_attitude","=~","Q34_4",1.02224664069499,0.0401504990980132,25.4603719420657,0,0.943553108501575,1.1009401728884
"15","bike_attitude","=~","Q21_1",1,0,NA,NA,1,1
"16","bike_attitude","=~","Q21_2",0.833878106223901,0.0470094954835191,17.7385036288306,0,0.741741188144805,0.926015024302996
"17","bike_attitude","=~","Q21_3",0.931604809252382,0.0429454103090029,21.6927676915706,0,0.847433351745441,1.01577626675932
"18","bike_attitude","=~","Q21_4",0.643405543625043,0.0413125576538062,15.5740912730869,0,0.562434418514349,0.724376668735738
