"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","comf_saf","=~","Q8_8",0.439366952736685,0.0246555236589545,17.8202239309208,0,0.391043014345159,0.487690891128211
"2","comf_saf","=~","Q8_9",0.555568055231638,0.0217315387415391,25.5650583163579,0,0.512975021969584,0.598161088493691
"3","comf_saf","=~","Q8_10",0.760795699387345,0.0157686751295751,48.2472809627759,0,0.729889664049465,0.791701734725224
"4","comf_saf","=~","Q8_11",0.802993465035313,0.0146711377523659,54.7328692967812,0,0.77423856342845,0.831748366642176
"5","comf_saf","=~","Q8_12",0.515082586021996,0.0228172006890981,22.5743110664798,0,0.470361694443342,0.559803477600651
"6","comf_saf","=~","Q8_15",0.52496679074731,0.0225583811025215,23.271474507035,0,0.480753176236839,0.569180405257781
"7","ex_env","=~","Q8_1",0.787960256975378,0.0194840571254257,40.4412824240352,0,0.749772206736822,0.826148307213933
"8","ex_env","=~","Q8_2",0.671355443055449,0.0211022183452322,31.8144487025997,0,0.629995855104893,0.712715031006005
"9","ex_env","=~","Q8_3",0.494770192172959,0.0248409140735572,19.9175517739758,0,0.446082895245733,0.543457489100185
"10","ex_env","=~","Q8_13",0.454704698328538,0.0257119929467207,17.6845373001913,0,0.404310118182218,0.505099278474859
"11","MAX_attitude","=~","Q34_1",0.714919826889123,0.0153646842037885,46.5300696979404,0,0.684805599215866,0.74503405456238
"12","MAX_attitude","=~","Q34_2",0.874301085257705,0.0100794577400521,86.7408850561024,0,0.854545711103509,0.8940564594119
"13","MAX_attitude","=~","Q34_3",0.812835072979476,0.0119469581629076,68.0369899932464,0,0.78941946525537,0.836250680703581
"14","MAX_attitude","=~","Q34_4",0.739820941404416,0.0144778479674444,51.1002010152348,0,0.711444880814579,0.768197001994254
"15","bike_attitude","=~","Q21_1",0.675866569452536,0.0182180092822862,37.0988157366731,0,0.640159927389239,0.711573211515833
"16","bike_attitude","=~","Q21_2",0.559515882211607,0.0216860148513715,25.8007700375719,0,0.517012074134718,0.602019690288495
"17","bike_attitude","=~","Q21_3",0.713764181001884,0.0170370323376911,41.8948656581945,0,0.680372211216565,0.747156150787203
"18","bike_attitude","=~","Q21_4",0.483968128161391,0.0236757792043041,20.4414868032478,0,0.437564453615033,0.530371802707749
"19","bike_attitude","=~","Q21_8",0.42654122560144,0.0250152678972087,17.0512355635829,0,0.37751220145929,0.47557024974359
"20","bike_attitude","=~","Q21_9",0.638911620182391,0.0193580542265043,33.0049504307937,0,0.600970531087669,0.676852709277113
"21","bike_attitude","=~","Q21_10",0.674144169508164,0.0182715737762843,36.8957911213524,0,0.638332542965781,0.709955796050548
"22","car_attitude","=~","Q15_1",0.578550014542228,0.022931753446973,25.2292096145224,0,0.533604603683809,0.623495425400647
"23","car_attitude","=~","Q15_2",0.657160559872949,0.0209963332094643,31.2988250527825,0,0.616008502974996,0.698312616770901
"24","car_attitude","=~","Q15_4",0.636005300345601,0.0215079573562407,29.5706974777435,0,0.593850478546346,0.678160122144856
"25","car_attitude","=~","Q15_6",0.610144749852274,0.0221458114682609,27.5512482677244,0,0.566739756966068,0.653549742738479
"26","car_attitude","=~","Q15_8",0.565125734676963,0.0232643196827099,24.2915220554231,0,0.519528505974025,0.610722963379901
"27","escooter_attitude","=~","Q28_1",0.73159900540841,0.0160937612943571,45.4585470746934,0,0.700055812895685,0.763142197921135
"28","escooter_attitude","=~","Q28_2",0.60964210860925,0.0199562547985839,30.5489238718535,0,0.570528567937721,0.648755649280779
"29","escooter_attitude","=~","Q28_3_r",0.406583292052756,0.0252182248130783,16.1225976477892,0,0.357156479665088,0.456010104440424
"30","escooter_attitude","=~","Q28_4",0.419891635407346,0.0249326147258581,16.8410589913728,0,0.371024608504252,0.468758662310441
"31","escooter_attitude","=~","Q28_8",0.627513954206714,0.019410563143073,32.3284775192446,0,0.58946994952665,0.665557958886778
"32","escooter_attitude","=~","Q28_9",0.472205042144114,0.0237256127088266,19.9027543751669,0,0.425703695723668,0.51870638856456
"33","escooter_attitude","=~","Q28_10",0.727039228155417,0.0162405855857168,44.7668111668849,0,0.695208265319571,0.758870190991262
"34","escooter_attitude","=~","Q28_11",0.597433335758763,0.0203226941440698,29.3973491665767,0,0.557601587167563,0.637265084349963
"35","Q35_3","~","comf_saf",-0.040295036753234,0.0318206693815812,-1.26631643948251,0.205399813613867,-0.10266240270509,0.0220723291986215
"36","Q35_3","~","ex_env",0.00918995702431634,0.0349640028016482,0.262840529914473,0.792673495148276,-0.0593382292222716,0.0777181432709043
"37","Q35_3","~","car_attitude",-0.0513894815276827,0.0313262279322296,-1.64046184043791,0.100909176433113,-0.112787760046345,0.01000879699098
"38","Q35_3","~","MAX_attitude",0.0222287982312503,0.0286077848518278,0.777019204611018,0.437147439956443,-0.0338414297558026,0.0782990262183032
"39","Q35_3","~","bike_attitude",0.0103964837327694,0.0322316689797707,0.322554930037735,0.747032331229771,-0.052776426629198,0.0735693940947367
"40","Q35_3","~","escooter_attitude",0.397735758103342,0.0264398365415463,15.0430490551013,0,0.345914630724786,0.449556885481899
"41","Q35_3","~","RECODED_Q63_am_ind_ala",0.00217163302773789,0.0235792515742424,0.0920993196455035,0.92661912900061,-0.0440428508401865,0.0483861168956623
"42","Q35_3","~","RECODED_Q63_asian",0.0125382046664855,0.024942095413651,0.502692514744502,0.615180473173899,-0.0363474040432321,0.0614238133762032
"43","Q35_3","~","RECODED_Q63_black",0.00077145434440685,0.0234672691956038,0.0328736308420311,0.973775360966602,-0.0452235480944829,0.0467664567832966
"44","Q35_3","~","RECODED_Q63_hisp_lat",-0.0072039838160025,0.0247239464667778,-0.291376776182665,0.770763174273842,-0.0556620284465833,0.0412540608145783
"45","Q35_3","~","RECODED_Q63_more_than_one_race",0.0308096122953833,0.0241734881814147,1.27452075034296,0.202478923518695,-0.0165695539208941,0.0781887785116608
"46","Q35_3","~","RECODED_Q63_nat_haw_pac",-0.0300270202136363,0.0234135746941042,-1.28246201641296,0.199680621186923,-0.0759167833634189,0.0158627429361463
"47","Q35_3","~","RECODED_Q63_other",-0.000405459446015424,0.0234435768015132,-0.0172951188058152,0.986201179650818,-0.0463540256457801,0.0455431067537492
"48","Q35_3","~","Q65_female",-0.00699310909485154,0.0247384446202644,-0.282681842055792,0.777420736706499,-0.0554795695841084,0.0414933513944053
"49","Q35_3","~","Q65_nonbinary",-0.050256633242068,0.0246570022237211,-2.03822965931029,0.0415269706674444,-0.0985834695672854,-0.00192979691685066
