"","Model","Deviance...2LL.","ChiSq","df","p"
"1","Intercept Only",26814.2295081458,NA,NA,NA
"2","1",25639.6369081107,52453.8664162565,11,0
"3","2",19400.8216009031,46215.0511090489,53,0
"4","3",16598.8826980444,43413.1122061902,71,0
"5","4",14373.3601507296,41187.5896588754,79,0
"6","5",13969.831992559,40784.0615007048,83,0
