"","Model","Deviance...2LL.","ChiSq","df","p"
"1","Intercept Only",5425.05400393871,NA,NA,NA
"2","1",4562.02425051098,863.029753427732,18,1.19680575409494e-171
"3","2",3595.83980746837,1829.21419647034,29,0
"4","3",3367.91636068613,2057.13764325258,33,0
"5","4",3271.29746373929,2153.75654019942,35,0
