"","Model","Deviance...2LL.","ChiSq","df","p"
"1","Intercept Only",4948.73693825611,NA,NA,NA
"2","1",4185.22460662106,763.512331635045,18,1.83376917987002e-150
"3","2",3237.77962198428,1710.95731627182,29,0
"4","3",3005.85473747131,1942.8822007848,33,0
"5","4",2927.34517466013,2021.39176359598,35,0
