"","Model","Deviance...2LL.","ChiSq","df","p"
"1","Intercept Only",1674.71527285332,NA,NA,NA
"2","1",1419.60751965993,255.107753193396,15,1.10016258384333e-45
"3","2",1194.3556949818,480.35957787152,26,3.97652442534105e-85
"4","3",962.867094581491,711.848178271831,30,1.65998095820513e-130
"5","4",909.026370712624,765.688902140698,32,2.39283906415483e-140
