"","Model","Deviance...2LL.","ChiSq","df","p"
"1","Intercept Only",700.776703175517,NA,NA,NA
"2","1",678.540583798259,22.2361193772581,9,0.00816002204077385
"3","2",590.855017615357,109.92168556016,20,2.02971066826978e-14
"4","3",458.463659359487,242.31304381603,24,5.48278007504274e-38
"5","4",442.060888764367,258.71581441115,26,3.33935669820372e-40
