"","Model","Deviance...2LL.","ChiSq","df","p"
"1","Intercept Only",26814.2295081441,NA,NA,NA
"2","1",25601.362059635,1212.86744850914,20,1.32114255859456e-244
"3","2",19368.2488738756,7445.9806342685,62,0
"4","3",16569.1262969608,10245.1032111833,80,0
"5","4",14350.7421042284,12463.4874039157,88,0
"6","5",13949.0315491808,12865.1979589633,92,0
