"","MR1"
"Q15_1",0.677155393085576
"Q15_2",0.668702501406581
"Q15_3",0.593707625580832
"Q15_4",0.62522243586525
"Q15_5",0.339903974513091
"Q15_6",0.617139755130208
"Q15_7_r",0.0277515970827268
"Q15_8",0.549891112336328
