"","MR1"
"Q21_1",0.692144662280004
"Q21_2",0.539982021685375
"Q21_3",0.745377975827699
"Q21_4",0.448033167641256
"Q21_5_r",0.294756820408564
"Q21_6_r",0.160371202674176
"Q21_7_r",0.33106256104066
"Q21_8",0.424532176361871
"Q21_9",0.632296709420756
"Q21_10",0.678937028029379
