"","MR1"
"Q28_1",0.753663287236975
"Q28_2",0.611792545674414
"Q28_3_r",0.390012762681704
"Q28_4",0.408866418969519
"Q28_5_r",0.159922607625287
"Q28_6_r",0.0410249134096157
"Q28_7_r",0.148837330919354
"Q28_8",0.647733291638264
"Q28_9",0.508097483426005
"Q28_10",0.767429040945124
"Q28_11",0.626873698642521
